IFNinj_t1,IFNinj_t2
0.0,1.0
2.0,3.0
4.0,4.856856856856857
5.237237237237237,6.237237237237237
6.5575575575575575,7.5575575575575575
8.85885885885886,9.85885885885886
12.32132132132132,13.32132132132132
16.004004004004003,17.004004004004003
19.686686686686684,20.686686686686684
23.389389389389386,24.389389389389386
27.072072072072068,28.072072072072068
30.75475475475475,31.75475475475475
34.45745745745745,35.45745745745745
38.14014014014013,39.14014014014013
41.842842842842835,42.842842842842835
45.52552552552552,46.52552552552552
49.22822822822822,50.22822822822822
52.9109109109109,53.9109109109109
56.59359359359358,57.59359359359358
